  TIME  YEAR    UNIT    PLANTNM    YIELD
     1     2    1033    agrl          190.205
     1     2    1034    agrl          177.262
     1     2    1035    agrl          184.102
     1     2    1036    agrl          185.253
     1     2    1037    agrl          162.000
     1     2    1038    agrl          154.385
     1     2    1039    agrl          176.179
     1     2    1040    agrl          177.263
     1     2    1041    agrl          182.905
     1     2    1042    agrl          169.015
     1     2    1043    agrl          164.761
     1     2    1063    agrl          184.076
     1     2    1064    agrl          162.801
     1     2    1072    agrl          184.109
     1     2    1073    agrl          184.100
     1     2    1074    agrl          175.209
     1     2    1075    agrl          191.469
     1     2    1076    agrl          187.760
     1     2    1082    agrl          185.263
     1     2    1083    agrl          175.203
     1     2    1084    agrl          172.207
     1     2    1085    agrl          176.096
     1     2    1086    agrl          181.736
     1     2    1087    agrl          170.057
     1     2    1088    agrl          178.293
     1     2    1089    agrl          176.128
     1     2    1090    agrl          179.488
     1     2    1091    agrl          164.721
     1     2    1092    agrl          163.692
     1     2    1093    agrl          161.187
     1     2    1094    agrl          177.238
     1     2    1095    agrl          167.906
     1     2    1096    agrl          170.025
     1     2    1097    agrl          157.186
     1     2    1098    agrl          149.800
     1     2    1099    agrl          163.705
     1     2    1100    agrl          180.585
     1     2    1101    agrl          176.155
     1     2    1102    agrl          162.772
     1     2    1103    agrl          162.803
     1     2    1104    agrl          172.228
     1     2    1105    agrl          161.988
     1     2    1106    agrl          174.358
     1     2    1107    agrl          161.390
     1     2    1108    agrl          162.011
     1     2    1109    agrl          159.660
     1     2    1110    agrl          175.214
     1     2    1111    agrl          179.444
     1     2    1112    agrl          179.405
     1     2    1113    agrl          192.683
     1     2    1114    agrl          174.328
     1     2    1115    agrl          173.239
     1     2    1116    agrl          168.914
     1     2    1117    agrl          158.090
     1     2    1118    agrl          174.323
     1     2    1119    agrl          172.221
     1     2    1131    agrl          178.295
     1     2    1132    agrl          158.128
     1     2    1133    agrl          173.250
     1     2    1134    agrl          167.938
     1     2    1135    agrl          159.820
     1     2    1136    agrl          168.978
     1     2    1137    agrl          180.580
     1     2    1138    agrl          166.821
     1     2    1139    agrl          166.875
     1     2    1140    agrl          166.909
     1     2    1141    agrl          167.885
     1     2    1152    agrl          164.554
     1     2    1153    agrl          175.956
     1     2    1154    agrl          173.118
     1     2    1155    agrl          177.091
     1     2    1156    agrl          175.985
     1     2    1157    agrl          185.139
     1     2    1158    agrl          178.155
     1     2    1159    agrl          188.801
     1     2    1160    agrl          166.659
     1     2    1161    agrl          169.898
     1     2    1162    agrl          186.303
     1     2    1163    agrl          182.720
     1     2    1164    agrl          189.989
     1     2    1165    agrl          204.318
     1     2    1166    agrl          180.415
     1     2    1167    agrl          181.586
     1     2    1172    agrl          180.488
     1     2    1173    agrl          181.592
     1     2    1174    agrl          158.742
     1     2    1175    agrl          141.564
     1     2    1176    agrl          163.605
     1     2    1177    agrl          169.918
     1     2    1178    agrl          179.334
     1     2    1179    agrl          175.164
     1     2    1180    agrl          170.998
     1     2    1181    agrl          158.741
     1     2    1182    agrl          183.942
     1     2    1183    agrl          185.127
     1     2    1184    agrl          181.640
     1     2    1185    agrl          168.768
     1     2    1186    agrl          171.017
     1     2    1192    agrl          162.717
     1     2    1193    agrl          161.901
     1     2    1194    agrl          147.216
     1     2    1195    agrl          168.928
     1     2    1196    agrl          185.195
     1     2    1197    agrl          145.188
     1     2    1198    agrl          161.947
     1     2    1199    agrl          160.395
     1     2    1200    agrl          153.351
     1     2    1201    agrl          146.529
     1     2    1202    agrl          182.829
     1     2    1203    agrl          159.014
     1     2    1204    agrl          156.152
     1     2    1205    agrl          163.667
     1     2    1206    agrl          186.417
     1     2    1207    agrl          200.390
     1     2    1208    agrl          160.370
     1     2    1211    agrl          161.874
     1     2    1212    agrl          168.870
     1     2    1213    agrl          175.187
     1     2    1214    agrl          158.807
     1     2    1215    agrl          168.897
     1     2    1216    agrl          171.047
     1     2    1217    agrl          186.374
     1     2    1218    agrl          152.461
     1     2    1219    agrl          151.536
     1     2    1220    agrl          193.828
     1     2    1221    agrl          158.769
     1     2    1222    agrl          183.993
     1     2    1227    agrl          174.226
     1     2    1228    agrl          176.072
     1     2    1229    agrl          162.691
     1     2    1230    agrl          163.602
     1     2    1231    agrl          166.745
     1     2    1232    agrl          163.603
     1     2    1233    agrl          158.006
     1     2    1234    agrl          173.192
     1     2    1235    agrl          156.078
     1     2    1236    agrl          166.761
     1     2    1237    agrl          172.166
     1     2    1238    agrl          165.676
     1     2    1239    agrl          178.245
     1     2    1240    agrl          168.904
     1     2    1241    agrl          193.869
     1     2    1242    agrl          190.067
     1     2    1243    agrl          160.323
     1     2    1244    agrl          191.337
     1     2    1245    agrl          175.171
     1     2    1250    agrl          173.256
     1     2    1251    agrl          162.728
     1     2    1252    agrl          148.810
     1     2    1253    agrl          152.454
     1     2    1254    agrl          165.740
     1     2    1255    agrl          155.208
     1     2    1256    agrl          159.551
     1     2    1257    agrl          161.123
     1     2    1258    agrl          169.995
     1     2    1259    agrl          162.746
     1     2    1260    agrl          145.815
